t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
10	0.6	pos	0.72408158	0.70623018	0.74325655	2.60108546	2.51160951	2.70567495	2.58471037	2.48997506	2.69447291	0.9838172	0.9680291	0.9977421	1.1125081	1.0983370	1.1271024
10	0.9	neg	0.10653592	0.10500213	0.10811019	0.08612553	0.08412879	0.08814734	0.08603047	0.08417784	0.08805293	0.9560649	0.9478285	0.9644526	0.9572779	0.9479590	0.9671101
10	0.9	pos	0.10609648	0.10411459	0.10868228	6.41340501	6.27777702	6.56019203	6.40513454	6.28259290	6.53231584	0.9483273	0.9354600	0.9617174	1.6191560	1.6023945	1.6389880
11	0.0	neg	0.99575429	0.97565227	1.01607354	0.99545560	0.97553514	1.01582104	0.99572566	0.97259255	1.01501417	0.9954535	0.9829712	1.0077984	0.9952960	0.9835074	1.0078565
11	0.0	pos	1.01073314	0.98916067	1.03855109	1.01520702	0.99478506	1.03812831	1.01069994	0.98992015	1.03196907	0.9997728	0.9831360	1.0124038	1.0023929	0.9912734	1.0182543
11	0.3	neg	0.98721748	0.97072042	1.00619861	0.98948105	0.96976587	1.01174299	0.98780362	0.97070433	1.00798306	0.9927308	0.9810616	1.0027676	0.9945354	0.9835004	1.0081371
11	0.3	pos	1.00309774	0.98321532	1.02148248	1.03605052	1.01215296	1.05867208	1.03465152	1.01644324	1.05507760	0.9981203	0.9887084	1.0056461	1.0110643	1.0007555	1.0234877
11	0.6	neg	0.79275999	0.77741401	0.80881493	0.78586317	0.77232472	0.80053028	0.78715340	0.77173893	0.80120039	0.9909994	0.9811715	0.9992086	0.9914164	0.9805555	1.0006540
11	0.6	pos	0.78406853	0.77063654	0.79380033	2.16784624	2.12652791	2.21318231	2.16292586	2.11508480	2.21635439	0.9764826	0.9674132	0.9875103	1.0797663	1.0730070	1.0878913
11	0.9	neg	0.11738756	0.11520190	0.11926300	0.09438681	0.09206830	0.09631854	0.09441847	0.09199256	0.09612060	0.9733762	0.9612833	0.9841366	0.9716374	0.9618107	0.9810210
11	0.9	pos	0.11380853	0.11168988	0.11533320	6.38894863	6.29365743	6.50508057	6.38644010	6.24664694	6.50128343	0.9509809	0.9409957	0.9603307	1.5991016	1.5820962	1.6140922
12	0.0	neg	0.98448040	0.96743568	1.00665674	0.98547744	0.96863825	1.00513883	0.98486019	0.96790320	1.00929304	0.9912399	0.9816713	1.0030705	0.9917599	0.9812548	1.0049271
12	0.0	pos	0.99210190	0.97033217	1.01056441	0.99552914	0.97908878	1.01296499	0.99467316	0.97485098	1.01493012	0.9946245	0.9816489	1.0055453	0.9953922	0.9800863	1.0071391
12	0.3	neg	0.98849352	0.97144228	1.00290153	0.98842730	0.97312483	0.99956182	0.98814194	0.97387883	1.00120184	0.9944948	0.9860206	1.0037586	0.9939354	0.9854375	1.0046491
12	0.3	pos	0.99436338	0.97655198	1.00767210	1.01704321	1.00230872	1.03333093	1.01615894	1.00159553	1.03226265	0.9965061	0.9885537	1.0063040	1.0068818	0.9982075	1.0154549
12	0.6	neg	0.84524364	0.83175405	0.86167693	0.84181784	0.82697523	0.85728483	0.84424059	0.82739418	0.86075119	0.9877619	0.9764984	0.9982686	0.9886956	0.9780242	1.0018866
12	0.6	pos	0.84538099	0.83170536	0.85626164	1.82534277	1.78578633	1.86909145	1.82529987	1.78637164	1.86754108	0.9828533	0.9723555	0.9908588	1.0677785	1.0589025	1.0740348
12	0.9	neg	0.12561280	0.12380270	0.12740878	0.10217805	0.10013082	0.10359951	0.10201168	0.10048516	0.10345863	0.9685326	0.9611331	0.9765450	0.9689823	0.9603528	0.9753321
12	0.9	pos	0.12357468	0.12165289	0.12526127	6.37063482	6.20749743	6.52960779	6.36881555	6.22035745	6.52111267	0.9577288	0.9494156	0.9656035	1.5806863	1.5612891	1.6000076
13	0.0	neg	1.00061644	0.98794111	1.01192307	1.00094101	0.98986255	1.01153271	1.00170945	0.99124108	1.01217432	1.0031402	0.9980624	1.0086638	1.0036624	0.9985158	1.0093990
13	0.0	pos	0.99141648	0.97074272	1.01137902	0.99277666	0.97492388	1.01200503	0.99103555	0.97341959	1.01255587	0.9942141	0.9822403	1.0046584	0.9964666	0.9848270	1.0085172
13	0.3	neg	1.01248042	1.00185818	1.02294369	1.01364502	1.00448142	1.02332066	1.01453204	1.00567748	1.02587190	1.0087990	1.0047615	1.0129948	1.0093118	1.0047748	1.0142364
13	0.3	pos	0.99454489	0.97664082	1.01063205	1.00821858	0.98690360	1.02580208	1.00926085	0.98945669	1.02794736	0.9962587	0.9861875	1.0049567	1.0046413	0.9906791	1.0184419
13	0.6	neg	0.90805577	0.88871768	0.92731883	0.90624136	0.88644872	0.92733861	0.90558494	0.88935983	0.92597251	1.0030824	0.9928437	1.0162960	1.0046884	0.9935246	1.0162099
13	0.6	pos	0.90502334	0.88378161	0.92844679	1.59138916	1.54501271	1.63983560	1.59475226	1.54758398	1.65015761	0.9938732	0.9783471	1.0125935	1.0611970	1.0474447	1.0757059
13	0.9	neg	0.13456536	0.13265326	0.13703161	0.11127439	0.10946682	0.11311907	0.11130782	0.10917509	0.11355230	0.9701026	0.9604186	0.9793602	0.9719303	0.9612433	0.9845838
